path_names	UP/DOWN	statistic	p.value	FDRp.value	Fold_Change	logFC
Renin-angiotensin pathway: MRGPRD	DOWN	-0.0185806606290684	0.980427340441682	1	2.13855657551261	1.09663737421533
Renin-angiotensin pathway: LNPEP	UP	4.87381050889701	1.09750629148081e-06	1.44671283877016e-05	1.25056260061398	0.322577277698687
Renin-angiotensin pathway: MAS1	UP	4.05832595906568	4.34428087850416e-05	0.00034995595965728	2.4487470626099	1.29204376191168
Renin-angiotensin pathway: AGTR2	UP	0.721548987762154	0.319000475128088	0.519719875208682	63.9893014702815	5.99975881240653
Renin-angiotensin pathway: AGTR1,ACE2	UP	0.616258577530767	0.389543527085028	0.605264874139041	1409.5410318649	10.4610097601628
Nsp4 and Nsp6 protein interactions: ATP5MG	DOWN	-11.9845261057491	1	1	1	0
Nsp4 and Nsp6 protein interactions: ATP6AP1	DOWN	-2.41342136393121	0.0158182530229876	0.0498618845289828	0.83318030421732	-0.263299359378044
Nsp4 and Nsp6 protein interactions: SLC6A15	UP	1.22477521313276	0.160053724959586	0.320319583064185	2.71686703838282	1.44194396277759
Nsp4 and Nsp6 protein interactions: ATP13A3	UP	0.862452330865923	0.388685522561171	0.605264874139041	1.08210997936521	0.113847133750257
Nsp4 and Nsp6 protein interactions: NUP210	DOWN	-0.553806912638621	0.578110536902587	0.748446677239956	0.934192837665222	-0.0982077106617758
Nsp4 and Nsp6 protein interactions: SIGMAR1	UP	0.0428387453392409	0.966170367318172	1	1.03506698586552	0.0497241368538978
Nsp4 and Nsp6 protein interactions: IDE	DOWN	-3.44000286368724	0.000328798186021579	0.00176576803604182	0.558708195377241	-0.839833112355601
Nsp4 and Nsp6 protein interactions: ALG11	DOWN	-1.12412996805864	0.237836771978312	0.442132460728914	1.08229532342991	0.11409421775371
Nsp4 and Nsp6 protein interactions: Nsp3:Nsp4:Nsp6	DOWN	-3.73316439805698	7.57362928922791e-05	0.000577987498388446	0.555085924002488	-0.849216985519236
Nsp4 and Nsp6 protein interactions: DNAJC11	DOWN	-3.62890624674943	0.000142459503488906	0.000860692833578805	0.566932830501001	-0.818750278315054
Nsp4 and Nsp6 protein interactions: TIMM29,TIMM22,TIMM10B	DOWN	-3.23509946730557	0.000305498178832934	0.00170373984349136	0.385226299457011	-1.37622189533781
Interferon 1 pathway: OAS1,OAS2,OAS3	UP	6.88671541037942	5.72906021287224e-12	2.76904576955492e-10	2.8791802742388	1.52565812325631
Interferon 1 pathway: ISG15	UP	4.26426161437119	1.87729028200085e-05	0.000181471393926749	2.55332165331738	1.35237529192269
Interferon 1 pathway: CASP1,PYCARD,NLRP3	UP	0.246193753335156	0.796605910982865	0.931514976552543	1.14483120288133	0.195134899005209
E protein interactions: CRB3,PATJ,MPP5	DOWN	-3.68877726433199	8.51677075511132e-05	0.00058806274261483	0.470646954901648	-1.08728283419667
E protein interactions: CCNT1,CDK9	DOWN	-4.51716505071129	6.0374350691862e-06	6.73406219255383e-05	0.500134777462576	-0.999611166849826
E protein interactions: H3C15,H3C1,H4C1	UP	0.00516129461918565	0.996293707767432	1	0.978789493625508	-0.0309294793463645
E protein interactions: TBP	DOWN	-1.38013018117024	0.164991932199034	0.323295002281892	0.892570301172873	-0.163962290833366
E protein interactions: FXYD1,FXYD2,FXYD3	UP	0.453677797026419	0.518513845011509	0.707835919607603	1.54478896969145	0.627409768114136
E protein interactions: STOML3,ASIC1	DOWN	-5.12258490954176	1.44743987398546e-07	2.09878781727891e-06	0.348229585933167	-1.52188931388056
TGFbeta signalling: SMAD3,SMAD2	UP	1.11587189666794	0.186749679737889	0.356298731078867	1.26242573289509	0.336198518212556
TGFbeta signalling: RPS6KB1	DOWN	-1.32232368143536	0.186226872560726	0.356298731078867	0.864840417374983	-0.20949414745783
TGFbeta signalling: RHOA	UP	1.86632413429753	0.0620682043522906	0.141935506464753	1.00433641692301	0.00624260168952058
TGFbeta signalling: SMAD9,SMAD5,SMAD1	UP	0.610065023987744	0.538288988473105	0.707835919607603	1.50735367105519	0.592017956825509
JNK pathway: JUN,JUND	DOWN	-5.47097229633679	4.48847922081594e-08	8.13536858772889e-07	0.583339110338449	-0.77759329109436
JNK pathway: TP53	UP	2.28129222168006	0.0225456416390893	0.0605392229197768	1.23248888540858	0.301574636430188
JNK pathway: BCL2	UP	2.33703420356726	0.0194154277389269	0.0540383438851263	1.30805835824092	0.387426907247789
JNK pathway: ATF2	DOWN	-1.01161374536039	0.311968994347863	0.519719875208682	0.928871311288329	-0.106449359879443
PAMP signalling: IRF3	UP	0.487226212051126	0.5863551264413	0.752402595876004	0.777284825472832	-0.363484743357819
PAMP signalling: IRF7	UP	2.32516322594314	0.019545196909917	0.0540383438851263	2.82881646820189	1.50019857864149
PAMP signalling: RELA,NFKB1	UP	0.320516395851429	0.748564685571071	0.897040325684342	1.03775356466941	0.0534638875879212
PAMP signalling: FOS,JUN	UP	0.628645684616813	0.529506795635981	0.707835919607603	1.69035664674053	0.757327671477716
PAMP signalling: ITCH	UP	2.62142153708439	0.0087696180795894	0.0326049902959093	1.08486828536239	0.117519894660992
Apoptosis pathway: CASP3	UP	2.10890498139926	0.0349934335672272	0.0874835839180679	1.16339488403708	0.218340865122958
Apoptosis pathway: CASP7	UP	3.36826086848056	0.000757803400152638	0.00366271643407108	1.33941140244206	0.421599154913181
Pyrimidine deprivation: IFNB1	UP	0.777807099111278	0.297584449127621	0.507644060276529	21.6585140224468	4.43686235879445
